timestamp,date_time,symbol,timeframe,signal_direction,filter_type,rejection_reason,rsi_value,price,additional_data
1747131543,2025-05-13 07:19:03,DOGEUSDT,1m,BOTH,VOLUME,Volume atual (6786724.00) abaixo do mínimo requerido (7112830.80),N/A,0.22590000,"{'avg_volume': 5927359.0, 'required_threshold': 7112830.8}"
1747131546,2025-05-13 07:19:06,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (4236.89) abaixo do mínimo requerido (73594.58),N/A,12.80300000,"{'avg_volume': 61328.82050000001, 'required_threshold': 73594.5846}"
1747132752,2025-05-13 07:39:12,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (9225.80) abaixo do mínimo requerido (37617.55),N/A,12.82500000,"{'avg_volume': 31347.954499999993, 'required_threshold': 37617.54539999999}"
1747132808,2025-05-13 07:40:08,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (2605.18) abaixo do mínimo requerido (39913.85),N/A,12.81200000,"{'avg_volume': 33261.5385, 'required_threshold': 39913.8462}"
1747132870,2025-05-13 07:41:10,TRUMPUSDT,5m,BUY,MTF_RSI,RSI em 15m (57.82) acima do limite para compra (45),28.57,12.83500000,"{'ref_timeframe': '15m', 'ref_rsi': 57.817589576547185}"
1747133107,2025-05-13 07:45:07,TRUMPUSDT,5m,BUY,MTF_RSI,RSI em 15m (65.38) acima do limite para compra (45),33.33,12.84200000,"{'ref_timeframe': '15m', 'ref_rsi': 65.3775322283608}"
1747134125,2025-05-13 08:02:05,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (53.99) acima do limite para compra (45),28.36,12.86500000,"{'ref_timeframe': '5m', 'ref_rsi': 53.98550724637688}"
1747134189,2025-05-13 08:03:09,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (54.78) acima do limite para compra (45),31.15,12.85900000,"{'ref_timeframe': '5m', 'ref_rsi': 54.779411764706225}"
1747134210,2025-05-13 08:03:30,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (56.89) acima do limite para compra (45),42.47,12.87800000,"{'ref_timeframe': '5m', 'ref_rsi': 56.89045936395791}"
1747134739,2025-05-13 08:12:19,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (4733.59) abaixo do mínimo requerido (24524.35),N/A,12.82500000,"{'avg_volume': 20436.959000000003, 'required_threshold': 24524.350800000004}"
1747134785,2025-05-13 08:13:05,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (548.06) abaixo do mínimo requerido (24360.05),N/A,12.83700000,"{'avg_volume': 20300.045000000002, 'required_threshold': 24360.054}"
1747134831,2025-05-13 08:13:51,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (45.23) acima do limite para compra (45),25.68,12.83400000,"{'ref_timeframe': '5m', 'ref_rsi': 45.22821576763451}"
1747134852,2025-05-13 08:14:12,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (47.19) acima do limite para compra (45),36.71,12.83800000,"{'ref_timeframe': '5m', 'ref_rsi': 47.18614718614716}"
1747134916,2025-05-13 08:15:16,TRUMPUSDT,1m,BOTH,VOLUME,Volume atual (1974.15) abaixo do mínimo requerido (25064.38),N/A,12.84400000,"{'avg_volume': 20886.983, 'required_threshold': 25064.3796}"
1747136888,2025-05-13 08:48:08,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (63.91) acima do limite para compra (45),32.24,0.22873000,"{'ref_timeframe': '5m', 'ref_rsi': 63.90845070422536}"
1747137192,2025-05-13 08:53:12,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (56.53) acima do limite para compra (45),22.52,12.90900000,"{'ref_timeframe': '5m', 'ref_rsi': 56.53495440729471}"
1747137203,2025-05-13 08:53:23,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (53.48) acima do limite para compra (45),19.44,0.22793000,"{'ref_timeframe': '5m', 'ref_rsi': 53.481012658227826}"
1747137225,2025-05-13 08:53:45,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (60.59) acima do limite para compra (45),31.58,12.92900000,"{'ref_timeframe': '5m', 'ref_rsi': 60.58631921824095}"
1747137306,2025-05-13 08:55:06,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (56.90) acima do limite para compra (45),24.27,0.22789000,"{'ref_timeframe': '5m', 'ref_rsi': 56.90235690235707}"
1747137335,2025-05-13 08:55:35,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (58.33) acima do limite para compra (45),31.58,0.22812000,"{'ref_timeframe': '5m', 'ref_rsi': 58.33333333333329}"
1747137388,2025-05-13 08:56:28,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (58.20) acima do limite para compra (45),30.67,0.22807000,"{'ref_timeframe': '5m', 'ref_rsi': 58.196721311475414}"
1747137427,2025-05-13 08:57:07,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (57.21) acima do limite para compra (45),30.35,0.22793000,"{'ref_timeframe': '5m', 'ref_rsi': 57.214765100671144}"
1747137602,2025-05-13 09:00:02,TRUMPUSDT,1m,BUY,MTF_RSI,RSI em 5m (64.81) acima do limite para compra (45),45.63,12.91700000,"{'ref_timeframe': '5m', 'ref_rsi': 64.80836236933817}"
1747137607,2025-05-13 09:00:07,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (61.40) acima do limite para compra (45),40.96,0.22806000,"{'ref_timeframe': '5m', 'ref_rsi': 61.40350877192977}"
1747137729,2025-05-13 09:02:09,DOGEUSDT,1m,BUY,MTF_RSI,RSI em 5m (56.91) acima do limite para compra (45),34.95,0.22749000,"{'ref_timeframe': '5m', 'ref_rsi': 56.91056910569096}"
